Project,Date,Country,Latitude,Longitude,Site,Condition,Species,Genotype,Temperature,Timepoint,Pam_value,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,1,28,420,0.633,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,2,28,420,0.622,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,3,28,420,0.637,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,4,28,420,0.625,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,5,28,420,0.609,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,6,28,420,0.607,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,7,28,420,0.620,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,8,28,420,0.616,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,9,28,420,0.629,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,10,28,420,0.592,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,1,34,420,0.617,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,2,34,420,0.601,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,3,34,420,0.594,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,4,34,420,0.567,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,5,34,420,0.537,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,6,34,420,0.607,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,7,34,420,0.548,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,8,34,420,0.584,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,9,34,420,0.592,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,10,34,420,0.504,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,1,37,420,0.451,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,2,37,420,0.447,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,3,37,420,0.472,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,4,37,420,0.438,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,5,37,420,0.434,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,6,37,420,0.482,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,7,37,420,0.474,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,8,37,420,0.422,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,9,37,420,0.442,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,10,37,420,0.470,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,1,39,420,0.055,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,2,39,420,0.078,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,3,39,420,0.006,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,4,39,420,0.047,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,5,39,420,0.009,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,6,39,420,0.281,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,7,39,420,0.062,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,8,39,420,0.060,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,9,39,420,0.000,
2022_FJI_Viti_Levu_ElisaJahreis,20220920,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Winter,Porites cylindrica,10,39,420,0.009,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,1,28,420,0.631,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,2,28,420,0.646,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,3,28,420,0.637,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,4,28,420,0.630,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,5,28,420,0.644,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,6,28,420,0.615,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,7,28,420,0.617,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,8,28,420,0.628,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,9,28,420,0.624,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,10,28,420,0.632,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,1,34,420,0.640,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,2,34,420,0.617,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,3,34,420,0.636,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,4,34,420,0.607,
2022_FJI_Viti_Levu_ElisaJahreis,20221129,FJ,-18.20583554,177.6889888,Vatu-o-lalai,Summer,Porites cylindrica,5,34,420,0.598,
