Project,Date,Country,Latitude,Longitude,Site,Condition,Species,Genotype,Temperature,Timepoint,Pam_value
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,1,37.07,420,0.074
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,2,37.07,420,0.125
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,3,37.07,420,0
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,4,37.07,420,0.079
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,5,37.07,420,0.05
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,6,37.07,420,0.053
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,7,37.07,420,0.047
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,8,37.07,420,0
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,9,37.07,420,0.009
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,10,37.07,420,0.147
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,11,37.07,420,0.021
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,12,37.07,420,0.023
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,1,34.04,420,0.226
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,2,34.04,420,0.23
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,3,34.04,420,0.406
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,4,34.04,420,0.337
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,5,34.04,420,0.187
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,6,34.04,420,0.31
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,7,34.04,420,0.353
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,8,34.04,420,0.368
Global_Search_Caribbean,22220522,CUW,12.10932,-68.95443,Curacao,Caribbean,Porites astreoides,9,34.04,420,0.288
