# id	zip_filename	OGR_layer_name (Allen Coral Atlas)
caribbean	Northern-Caribbean--Florida---Bahamas-20230310014129.zip	Northern Caribbean, Florida & Bahamas
arabian	Northwestern-Arabian-Sea-20230310014334.zip	Northwestern Arabian Sea
redsea	Red-Sea---Gulf-of-Aden-20230310014131.zip	Red Sea & Gulf of Aden
micronesia	Western-Micronesia-20230310012947.zip	Western Micronesia
sw_pacific	Southwestern-Pacific-20230309235258.zip	Southwestern Pacific
andaman_sea	Andaman-Sea-20230309235804.zip	Andaman Sea
bermuda	Bermuda-20230328225056.zip	Bermuda
brazil	Brazil-20230310004005.zip	Brazil
central_south_pacific	Central-South-Pacific-20230310003051.zip	Central South Pacific
coral_sea	Coral-Sea-20230310000950.zip	Coral Sea
eastern_micronesia	Eastern-Micronesia-20230310003732.zip	Eastern Micronesia
eastern_tropical_pacific	Eastern-Tropical-Pacific-20230310004005.zip	Eastern Tropical Pacific
great_barrier_reef	Great-Barrier-Reef-and-Torres-Strait-20230310013521.zip	Great Barrier Reef and Torres Strait
northeastern_asia	Northeastern-Asia-20230310004410.zip	Northeastern Asia
south_china_sea	South-China-Sea-20230310001832.zip	South China Sea
southeastern_asia	Southeastern-Asia-20230310013653.zip	Southeastern Asia
southeastern_caribbean	Southeastern-Caribbean-20230310014130.zip	Southeastern Caribbean
southern_asia	Southern-Asia-20230310000614.zip	Southern Asia
subtropical_eastern_australia	Subtropical-Eastern-Australia-20230310004411.zip	Subtropical Eastern Australia
timor_arafura	Timor---Arafura-Seas-20230310000037.zip	Timor & Arafura Seas
western_africa	Western-Africa-20230310004410.zip	Western Africa
western_australia	Western-Australia-20230310001457.zip	Western Australia
